#ticks	median	decon
340 	 1.38799 	 -1.50474e-06
341 	 2.20337 	 -1.51141e-06
342 	 3.56827 	 -1.51865e-06
343 	 4.6926 	 -1.52608e-06
344 	 5.69848 	 -1.53335e-06
345 	 5.17974 	 -1.54078e-06
346 	 5.04356 	 -1.54813e-06
347 	 5.03725 	 -1.55652e-06
348 	 4.91118 	 -1.56323e-06
349 	 3.79683 	 -1.57078e-06
350 	 2.80298 	 -1.57801e-06
351 	 2.86461 	 -1.58477e-06
352 	 2.64581 	 -1.59335e-06
353 	 2.01048 	 -1.59963e-06
354 	 2.05401 	 -1.60726e-06
355 	 1.55996 	 -1.61465e-06
356 	 0.743102 	 -1.62109e-06
357 	 0.871689 	 -1.62896e-06
358 	 0.33432 	 -1.63682e-06
359 	 0.60045 	 -1.64386e-06
360 	 0.0302119 	 -1.65224e-06
361 	 -0.300868 	 -1.65963e-06
362 	 -0.555725 	 -1.66782e-06
363 	 -0.59608 	 -1.67576e-06
364 	 -0.308969 	 -1.68451e-06
365 	 -1.35044 	 -1.69134e-06
366 	 -2.04901 	 -1.70072e-06
367 	 -2.85201 	 -1.70692e-06
368 	 -2.22293 	 -1.71979e-06
369 	 -1.77506 	 -1.7217e-06
370 	 -1.03262 	 -1.73314e-06
371 	 -0.420325 	 -1.73823e-06
372 	 -0.000477314 	 -1.7465e-06
373 	 -0.491308 	 -1.75444e-06
374 	 -0.376005 	 -1.7643e-06
375 	 0.142694 	 -1.7722e-06
376 	 -0.346526 	 -1.77905e-06
377 	 0.805968 	 -1.78752e-06
378 	 1.42336 	 -1.79625e-06
379 	 3.35874 	 -1.80387e-06
380 	 3.14245 	 -1.81182e-06
381 	 1.94847 	 -1.82084e-06
382 	 2.14814 	 -1.8301e-06
383 	 1.5526 	 -1.83757e-06
384 	 0.347375 	 -1.84695e-06
385 	 -0.627509 	 -1.85418e-06
386 	 -0.557174 	 -1.86364e-06
387 	 0.118811 	 -1.87063e-06
388 	 0.835797 	 -1.87977e-06
389 	 0.613825 	 -1.88879e-06
390 	 0.261621 	 -1.89718e-06
391 	 0.272423 	 -1.90866e-06
392 	 -0.57998 	 -1.9149e-06
393 	 -0.730114 	 -1.92626e-06
394 	 -1.08242 	 -1.93334e-06
395 	 -2.28476 	 -1.94359e-06
396 	 -1.97532 	 -1.95233e-06
397 	 -2.04904 	 -1.96191e-06
398 	 -1.61209 	 -1.97148e-06
399 	 -1.64065 	 -1.98122e-06
400 	 -0.248991 	 -1.99008e-06
401 	 -0.122794 	 -1.99906e-06
402 	 0.665082 	 -2.00792e-06
403 	 0.298726 	 -2.01738e-06
404 	 0.582211 	 -2.02513e-06
405 	 0.674667 	 -2.03534e-06
406 	 1.60496 	 -2.0442e-06
407 	 2.52711 	 -2.05485e-06
408 	 3.51454 	 -2.06387e-06
409 	 2.98393 	 -2.07539e-06
410 	 3.25963 	 -2.08318e-06
411 	 2.01923 	 -2.09427e-06
412 	 2.10196 	 -2.10468e-06
413 	 2.08586 	 -2.11362e-06
414 	 1.68059 	 -2.12479e-06
415 	 2.01883 	 -2.13377e-06
416 	 1.60806 	 -2.14446e-06
417 	 1.2582 	 -2.15324e-06
418 	 1.45829 	 -2.16357e-06
419 	 1.05735 	 -2.17334e-06
420 	 0.755475 	 -2.18368e-06
421 	 -0.251616 	 -2.19373e-06
422 	 0.146935 	 -2.20354e-06
423 	 -0.00833797 	 -2.21342e-06
424 	 -0.131564 	 -2.22399e-06
425 	 -0.0418553 	 -2.23376e-06
426 	 -0.175488 	 -2.24467e-06
427 	 -0.757837 	 -2.25397e-06
428 	 -0.219259 	 -2.26488e-06
429 	 -0.0479336 	 -2.27483e-06
430 	 -0.134008 	 -2.28826e-06
431 	 -0.143019 	 -2.29879e-06
432 	 0.11796 	 -2.30769e-06
433 	 0.802816 	 -2.3185e-06
434 	 1.83467 	 -2.32963e-06
435 	 1.68147 	 -2.34099e-06
436 	 1.52882 	 -2.3524e-06
437 	 1.79818 	 -2.36332e-06
438 	 1.80185 	 -2.37417e-06
